Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 400, 0
check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY
48947553, 92620, 59327, 96163, 16935, 128818, 90674, 3544531
29969205, 85085, 55974, 110497, 16281, 13304, 158103, 4788475
28464622, 184512, 33295, 252831, 33118, 198280, 473854, 8250163
402606873, 95173, 16306, 133837, 17141, 95202, 463943, 10622791
156216350, 274337, 51212, 283608, 21166, 120717, 211815, 9398060
34332036, 200444, 36055, 255315, 35502, 268657, 222530, 8295821
35709623, 150089, 28504, 249752, 30198, 173014, 399536, 10829475
32571263, 196048, 35164, 281609, 35182, 205157, 500183, 8599124
35024594, 223274, 39539, 266427, 37941, 33049, 414120, 8250176
34974562, 185233, 24891, 132208, 24381, 231708, 150528, 9815574
34835513, 225445, 39624, 314941, 41839, 238273, 535404, 12038619
42045063, 213212, 37470, 220584, 41347, 303205, 273432, 9702457
33878887, 139167, 26774, 139164, 26271, 247423, 191290, 7226021
36479968, 132643, 25818, 164101, 24452, 19257, 240217, 11556144
43211865, 113981, 18993, 172139, 20379, 122029, 280491, 10441628
120474394, 278349, 39439, 324493, 40561, 245059, 506489, 10206519
113413617, 152481, 23813, 275976, 33572, 108493, 439203, 10826671
44136407, 178780, 33014, 263920, 34061, 235937, 416801, 14121202
40449633, 201446, 47294, 187272, 32237, 242780, 199487, 8707787
46791857, 323931, 46219, 296825, 40973, 24615, 411860, 7728897
35451581, 234035, 35566, 234514, 37690, 285226, 292380, 9137017
47288678, 326212, 50348, 334601, 49289, 27258, 601185, 5839488
48377773, 193326, 34754, 297012, 35110, 211870, 448172, 9974466
44163123, 134713, 16500, 83429, 16855, 130161, 95409, 4804805
40314608, 162046, 32610, 264710, 34550, 19641, 333165, 9308835
45604795, 221606, 38687, 335638, 42692, 128450, 582545, 9423351
45234787, 245334, 39018, 333123, 41078, 280724, 558647, 12437017
30566841, 199050, 33382, 295565, 34162, 268080, 438359, 10863759
32456681, 158618, 26837, 197943, 27226, 15969, 282793, 7831954
36158770, 255867, 35494, 183049, 38679, 273378, 221318, 8448140
35773775, 196103, 40446, 391423, 39844, 265871, 589321, 9013004
33437031, 121610, 21182, 177173, 23475, 159826, 398727, 13769271
30404015, 182557, 33067, 229306, 30837, 19292, 344823, 7105473
36846166, 214229, 53065, 399762, 40813, 24976, 412096, 9004782
34599145, 201276, 36100, 303522, 36292, 204244, 473198, 11375194
32067639, 215943, 38683, 334546, 38898, 237626, 493294, 11230434
32175054, 197227, 36068, 307124, 35966, 217398, 453446, 14450999
39781576, 90846, 16039, 129180, 14083, 85759, 160589, 7625426
36673434, 121038, 22166, 184158, 21335, 153387, 259998, 13349714
42252318, 217391, 39534, 332220, 40611, 536446, 515970, 10474062
32640010, 233768, 45208, 497819, 55365, 171603, 793456, 11953449
42176669, 199726, 37064, 192309, 38181, 278419, 470884, 7952087
37350960, 98426, 19021, 137851, 17365, 178913, 253112, 9252652
44203355, 215882, 39219, 341271, 39474, 215486, 479979, 10633576
