Knapsack Testing
No. of Solution Systems, Trial, Pre-processing, Execution
50, 0, 425, 0
tx, check, getRandomReady, getFunc, getPair, acquireLocks, perfFunc, rmFITS/READY, newFITS/READY, txRelease
94016, 51886, 183392, 32883, 412357, 33755, 195062, 549909, 14140820, 1664
62800, 103972, 166380, 30115, 401468, 29494, 161187, 389890, 11718094, 1892
61678, 132124, 121216, 23550, 203555, 22279, 160558, 246590, 13290938, 2548
142929, 58107, 97113, 16796, 125926, 15668, 181822, 199853, 9801841, 1659
108343, 50196, 190278, 36026, 296483, 36396, 261534, 470786, 10392690, 1934
102999, 26445, 97557, 19101, 169512, 24422, 17443, 236630, 6878797, 2227
68919, 40370, 152772, 27898, 178828, 28817, 18322, 270312, 9642784, 1505
62925, 34903, 136282, 26233, 197953, 25449, 121976, 272104, 10323854, 9074
98391, 54721, 209903, 40753, 391587, 44042, 348262, 479795, 11027036, 2134
68662, 38196, 147370, 27158, 217152, 25905, 211197, 293700, 9454867, 1945
65725, 36166, 141042, 24218, 187167, 26020, 16975, 326465, 8137222, 1791
48069, 27873, 104455, 19106, 142752, 18227, 124478, 191916, 10258146, 2466
51798, 30333, 120568, 20106, 126446, 19314, 11922, 187867, 3937913, 1859
87705, 49465, 192854, 36310, 300225, 37392, 201812, 505516, 10760031, 1856
54837, 31758, 119567, 22652, 174636, 21102, 169365, 227337, 12663640, 8635
79275, 43604, 185459, 31280, 297505, 40070, 145069, 210224, 9644984, 2015
80537, 46102, 257778, 36965, 234119, 33281, 21562, 313739, 7927188, 2115
96492, 53955, 208550, 39737, 258661, 41486, 26035, 385448, 7456582, 1917
45864, 25513, 102402, 17014, 159293, 18497, 81686, 201739, 10157741, 1630
80497, 45858, 176354, 33842, 273570, 32595, 155518, 372606, 13959743, 9124
75253, 43944, 165109, 31232, 300302, 30681, 145692, 496699, 13391718, 1502
88431, 49634, 192211, 36257, 230201, 36244, 23401, 484004, 6939316, 1524
97941, 53433, 209693, 40328, 258009, 40042, 25739, 541642, 8992714, 2010
81175, 45068, 178691, 33216, 210256, 32748, 21594, 317158, 7273690, 1604
119124, 64088, 279223, 89727, 585415, 28647, 130522, 262856, 10471438, 2360
88480, 50873, 197923, 36853, 232825, 35923, 22367, 500693, 12034222, 8836
62482, 35326, 207756, 28543, 219353, 34585, 22041, 319507, 8575159, 3333
113753, 27788, 107389, 18798, 140910, 18521, 83319, 172245, 9738157, 1882
92278, 50351, 293774, 35767, 302813, 58713, 178918, 396824, 10936361, 1665
41880, 23622, 91374, 16426, 125112, 16268, 141915, 238268, 11312676, 1908
89304, 50058, 190029, 36364, 306885, 31801, 430553, 425077, 10296209, 1529
57623, 32272, 122758, 22709, 141207, 22209, 14201, 216697, 8390522, 2536
87664, 48539, 190906, 82897, 388428, 38017, 171844, 411365, 13679803, 9072
91686, 49319, 191286, 44944, 396278, 40704, 165491, 448202, 13595857, 9103
88498, 49193, 231845, 40377, 395253, 38069, 160374, 407561, 7817756, 8824
90056, 49060, 187401, 35419, 230598, 35406, 23128, 342678, 5884965, 1595
97204, 53784, 210219, 39982, 334375, 43936, 180741, 461308, 10290090, 1594
55651, 33931, 126993, 23392, 149728, 22349, 15061, 215045, 7677131, 2142
98387, 54265, 206099, 38509, 402938, 40919, 174918, 520599, 11197144, 1578
117991, 63226, 365752, 48857, 514876, 55583, 246748, 748590, 10262612, 8676
64574, 37815, 144078, 26722, 228203, 27573, 186026, 305123, 11666264, 1508
51955, 29693, 113611, 21472, 167994, 20436, 91490, 227263, 11996605, 2566
39301, 23335, 86651, 15871, 114938, 14414, 80919, 153748, 7973052, 1820
96993, 52847, 202497, 37682, 331508, 108405, 181719, 443141, 7902708, 1605
75163, 42669, 225985, 31402, 255391, 30386, 144860, 339589, 10843964, 2554
127834, 49125, 176090, 30718, 267561, 31701, 230660, 359360, 12371299, 1864
178446, 53087, 207553, 36684, 332215, 40363, 172883, 449175, 14538675, 1554
53142, 30318, 115716, 20650, 134710, 21133, 13710, 204171, 6069859, 1657
89780, 50542, 239440, 35700, 367687, 35531, 150872, 402830, 10904116, 1815
75036, 43607, 168323, 30096, 252206, 30794, 133791, 395047, 12667570, 9100
44331, 26303, 100561, 17421, 147238, 15770, 72663, 165813, 10540159, 1722
50356, 23877, 87565, 14853, 92355, 14476, 8432, 130025, 5341895, 1627
51487, 30147, 111778, 20327, 213196, 22041, 93273, 225651, 11601626, 3558
90970, 51189, 197170, 35935, 300550, 36052, 167532, 399636, 12719672, 1685
98973, 54691, 210941, 37697, 350768, 40453, 174447, 549305, 13003899, 8928
43223, 25561, 133039, 17216, 136886, 16046, 76700, 151378, 5354498, 8490
97991, 54104, 211718, 38334, 329093, 39160, 172517, 538530, 13666092, 8971
83031, 46378, 180390, 35054, 319354, 25795, 129261, 338321, 9772118, 1608
42307, 24368, 93230, 16920, 126594, 15550, 69685, 160951, 7980242, 1992
89433, 50935, 196973, 34657, 300256, 36908, 155951, 427112, 11025753, 2063
127979, 65531, 274015, 51092, 475234, 42293, 230770, 351934, 11824359, 1429
41619, 25184, 91442, 23153, 96139, 14845, 9208, 132555, 3810087, 2032
94752, 48113, 295237, 37553, 400834, 45418, 184464, 536610, 9699024, 1647
96357, 53999, 364625, 44843, 338843, 38509, 285067, 466555, 11165704, 1624
97550, 54626, 363803, 38975, 260826, 39821, 25063, 379078, 11520934, 1696
86662, 49959, 187864, 35624, 245410, 37281, 23182, 365936, 8806006, 2191
83565, 45692, 177970, 34417, 292742, 34845, 165937, 411735, 10550310, 1736
43612, 26112, 91872, 16861, 125275, 15259, 74995, 301923, 10547905, 2037
80658, 46326, 172140, 33117, 211656, 32964, 20732, 308959, 6917645, 1456
97550, 53613, 210801, 39491, 351380, 43731, 214540, 455925, 11315239, 1907
96352, 53824, 202235, 40850, 260605, 38949, 25884, 385934, 8198595, 1691
82514, 45238, 172784, 35339, 312956, 37303, 164860, 400579, 13675871, 1554
87990, 48820, 184853, 35557, 300278, 36515, 166846, 404865, 11646483, 1381
100143, 53223, 217737, 39250, 309769, 43569, 28653, 488738, 11189040, 1344
97360, 53844, 207011, 38995, 334580, 40222, 173820, 635859, 10114987, 1486
48676, 38395, 101990, 19553, 200111, 19708, 123640, 307325, 20803454, 1479
46356, 26541, 97380, 18388, 168401, 17461, 100552, 168330, 8047160, 2488
80795, 46122, 218064, 19543, 213238, 33922, 22220, 303708, 7860160, 2449
61599, 35211, 128959, 25233, 204090, 25562, 112569, 274248, 13332298, 3223
57566, 32715, 119515, 22106, 209593, 22103, 145290, 226524, 12350113, 2696
96813, 63441, 286310, 41025, 471626, 53984, 238675, 598574, 11341919, 8917
114695, 58512, 335386, 42217, 463649, 48845, 214213, 783632, 11783266, 1633
53255, 30670, 110531, 21255, 177045, 21614, 90994, 222483, 9057143, 2256
82102, 46647, 189308, 32555, 209538, 33582, 22215, 298800, 9843790, 2935
76656, 43253, 160380, 30306, 256053, 32171, 128466, 325131, 13451839, 1842
